id,descripcion,tipo,clasificacion,tipo_red,jurisdiccion,geojson,geom
18617987,Entrada AT,TEAT,S,AT Geografico,HURLINGHAM                                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.6713505771282,-34.5940079205027]}",0101000020E61000004F75D2D0EE554DC0E30F9873084C41C0
18617988,Entrada AT,TEAT,S,AT Geografico,HURLINGHAM                                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.6712784996119,-34.5940629376955]}",0101000020E6100000A82B3174EC554DC07E951C410A4C41C0
18617989,Entrada AT,TEAT,S,AT Geografico,HURLINGHAM                                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.6712064220116,-34.5941179548432]}",0101000020E6100000D8B38F17EA554DC04602A10E0C4C41C0
18617990,Entrada AT,TEAT,S,AT Geografico,HURLINGHAM                                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.6711343443055,-34.5941729719454]}",0101000020E6100000E301EEBAE7554DC01D5625DC0D4C41C0
18618330,Entrada AT,TEAT,S,AT Geografico,HURLINGHAM                                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.6714220284717,-34.5965904124245]}",0101000020E6100000CB0C3328F1554DC03C3C1B135D4C41C0
18618331,Entrada AT,TEAT,S,AT Geografico,HURLINGHAM                                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.6712723694222,-34.596459355014]}",0101000020E61000003FB0C440EC554DC0D596B7C7584C41C0
18618332,Entrada AT,TEAT,S,AT Geografico,HURLINGHAM                                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.671485423129,-34.5965409093537]}",0101000020E6100000330AFE3BF3554DC03733D8735B4C41C0
18618333,Entrada AT,TEAT,S,AT Geografico,HURLINGHAM                                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.6713357640636,-34.5964098520106]}",0101000020E6100000EFA48F54EE554DC0E8B27428574C41C0
18618335,Entrada AT,TEAT,S,AT Geografico,HURLINGHAM                                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.6719134772226,-34.5961011770478]}",0101000020E6100000D534C54201564DC080431A0B4D4C41C0
18618336,Entrada AT,TEAT,S,AT Geografico,HURLINGHAM                                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.6718486466329,-34.5961493913672]}",0101000020E61000003993EE22FF554DC0EBB98D9F4E4C41C0
18621073,Entrada AT,TEAT,S,AT Geografico,CABA,"{""type"":""Point"",""coordinates"":[-58.4061828029475,-34.5838929383161]}",0101000020E6100000B56D4FCCFD334DC06837F900BD4A41C0
18621074,Entrada AT,TEAT,S,AT Geografico,CABA,"{""type"":""Point"",""coordinates"":[-58.4061428827817,-34.5839165061452]}",0101000020E610000078866F7DFC334DC07CBEACC6BD4A41C0
18621075,Entrada AT,TEAT,S,AT Geografico,CABA,"{""type"":""Point"",""coordinates"":[-58.4061029625933,-34.5839400739611]}",0101000020E6100000D5928F2EFB334DC0533E608CBE4A41C0
